X,y
"[0.81604373 0.75158324 0.67560678 0.61215605 0.56454359 0.66476278
 0.60391759 0.57935368 0.56286436 0.69559636 0.65368509 0.68022822
 0.70452819 0.73144009 0.69654663 0.71913803 0.73754679 0.76663581
 0.733986   0.75222955 0.76798175 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[1.09972238 1.07190174 1.02983607 0.99302421 0.97483198 0.9915402
 0.91915987 0.87694646 0.84697131 0.98600188 0.90998354 0.93359074
 0.9628202  0.98720523 0.92238038 0.94572488 0.97355262 0.99181524
 0.93880085 0.95706676 0.98012915 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[0.85298271 0.79373552 0.71681507 0.65474389 0.61040844 0.70319353
 0.63631111 0.60721972 0.58765802 0.72980194 0.67925839 0.70699423
 0.73437354 0.76167203 0.71904869 0.74284411 0.76352896 0.79361155
 0.75720117 0.77695846 0.79419433 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[0.77810152 0.71159358 0.6338545  0.57111485 0.52515567 0.62928874
 0.57384982 0.55229301 0.53920884 0.6616771  0.62503717 0.64934903
 0.6708595  0.6991579  0.66890982 0.68955135 0.70516011 0.73626057
 0.70879787 0.72419569 0.7367635  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[1.08197122 1.05239315 1.00760165 0.96936428 0.94990856 0.96973879
 0.89932222 0.85874341 0.82925427 0.96765012 0.89536517 0.91935278
 0.94733046 0.97113723 0.90936358 0.93212196 0.95850822 0.97714888
 0.92596009 0.94377986 0.96566029 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[1.11033817 1.088999   1.04849326 1.01331438 0.99721134 1.00940255
 0.93752292 0.89330585 0.8610691  1.00241257 0.92464191 0.94791613
 0.97784621 1.0007632  0.93374736 0.95734107 0.98644386 1.00232356
 0.94767198 0.96645221 0.99051627 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",pistola
"[0.87577482 0.84851859 0.80888868 0.78313965 0.76677047 0.78345758
 0.76628734 0.77477039 0.78804415 0.80025818 0.78090613 0.79596153
 0.81131972 0.82338829 0.80353681 0.81552094 0.82870595 0.85092097
 0.82962573 0.82888505 0.83179452 0.69407704 0.65487249 0.6190994
 0.60362721 0.60385936 0.59097734 0.60189938 0.62082873 0.62876888
 0.61696716 0.63465614 0.64848294 0.64983688 0.64918814 0.66348454
 0.67476546 0.67376997 0.68037802 0.68925373 0.69453633 0.69191302]",violento
"[0.80311522 0.7919722  0.7661686  0.74513388 0.72254983 0.70270437
 0.69589674 0.72024095 0.74076571 0.69820874 0.69419673 0.72808587
 0.75452795 0.70136589 0.69967676 0.73370913 0.76139508 0.71266386
 0.71029765 0.73384003 0.75467942 0.78029713 0.74325612 0.70361173
 0.67791489 0.66453934 0.72090051 0.66672279 0.67904484 0.69760847
 0.7409161  0.67944545 0.69724253 0.71599279 0.75495613 0.69679113
 0.71219995 0.73008795 0.76373414 0.71532096 0.7260548  0.74283611]",violento
"[0.87880089 0.84959318 0.80808259 0.78157853 0.76399741 0.78222788
 0.76562193 0.76094889 0.76096706 0.79651563 0.77878772 0.79559779
 0.81325598 0.81708339 0.79885178 0.81168261 0.82604868 0.84338073
 0.82318051 0.82478374 0.83001005 0.69756512 0.65532798 0.61855489
 0.6014719  0.6013684  0.59735704 0.60165554 0.62068379 0.62947373
 0.62579438 0.63628208 0.6489473  0.65125791 0.65834405 0.66604514
 0.67636548 0.67588438 0.68853092 0.69122648 0.69674078 0.69553617]",violento
"[0.87515727 0.84424458 0.80678239 0.78288502 0.76930621 0.78218139
 0.75692088 0.76554948 0.77825112 0.8012111  0.77229729 0.78752672
 0.80439454 0.82582668 0.79881021 0.81008727 0.82288853 0.85371976
 0.82836668 0.82828022 0.83263639 0.6958466  0.65859062 0.62313602
 0.60624718 0.60406747 0.58790008 0.60086368 0.61988947 0.62470997
 0.61167308 0.63430226 0.64824971 0.64712106 0.64268666 0.66271974
 0.67286347 0.66893843 0.67367793 0.68727166 0.69346156 0.69016734]",violento
